
2017-06-29T19:05:11.179Z - Scanning for potential splits
2017-06-29T19:05:11.194Z - Debuglevel: 0
2017-06-29T19:05:11.194Z - Press 'q' to exit.
2017-06-29T19:06:50.082Z - Debuglevel: 0
2017-06-29T19:06:50.097Z - Press 'q' to exit.
2017-06-29T19:06:50.114Z - Stock market closed days:function toString() { [native code] }
2017-06-29T19:06:50.114Z - Parsing websites for new listings matching todays date.
2017-06-29T19:06:51.801Z - Parsing stocklist: ./stocklists/nasdaq_stockholm.txt
2017-06-29T19:06:51.801Z - Parsing stocklist: ./stocklists/nasdaq_firstnorth.txt
2017-06-29T19:06:51.801Z - Parsing stocklist: ./stocklists/ngm.txt
2017-06-29T19:06:51.801Z - Parsing stocklist: ./stocklists/aktietorget.txt
2017-06-29T19:06:51.801Z - Number of stocks in lists: 837
2017-06-29T19:06:51.817Z - TickerList matched database, DB update not required.
2017-06-29T19:09:53.654Z - {"brokerStat":{}}
2017-06-29T19:09:53.655Z - Found data for stock (801/837): undefined, id: 171148
2017-06-29T19:10:01.237Z - Reached end of stock list! Parsed 837 stocks with 0 retries in 191.155 s.
2017-06-29T19:10:01.240Z - {"CAR":{"buyValue":152297550.8486,"sellValue":140798356.98000005},"Anonyma":{"buyValue":15976859227.820595,"sellValue":16129662620.631002},"NRD":{"buyValue":555770569.2459999,"sellValue":518635677.6899998},"NON":{"buyValue":610999513.8876002,"sellValue":610613675.6471996},"SBN":{"buyValue":50188759.73000001,"sellValue":58759816.295},"AIV":{"buyValue":9622370.41,"sellValue":8620186.9},"DDB":{"buyValue":323350670.03399974,"sellValue":202876832.49999997},"ENS":{"buyValue":800984876.3000004,"sellValue":752419139.0916008},"ABC":{"buyValue":181033949.82,"sellValue":126644653.32999997},"SWB":{"buyValue":427243449.87599987,"sellValue":555910862.7079998},"SHB":{"buyValue":305034627.2779998,"sellValue":382247699.2833996},"AVA":{"buyValue":1136916948.3109992,"sellValue":1058483086.377199},"AOI":{"buyValue":24042150.5,"sellValue":29434766.38},"LFB":{"buyValue":20644136.14799999,"sellValue":16115358.290000003},"AAL":{"buyValue":30594999.73,"sellValue":971882.31},"JYB":{"buyValue":3107566.291,"sellValue":4649541.28},"JEF":{"buyValue":9054318.2,"sellValue":12764581},"NYE":{"buyValue":15514921.98,"sellValue":18500754.300000004},"FOR":{"buyValue":2637386.4999999995,"sellValue":3303374.279999999},"SYD":{"buyValue":8637940.179999998,"sellValue":6418279.2},"KCM":{"buyValue":10798220.73,"sellValue":6907515.57},"NTF":{"buyValue":8427986.679000001,"sellValue":6687119.13},"MMX":{"buyValue":1877617.58,"sellValue":731915.9},"EPB":{"buyValue":34425353.089999996,"sellValue":18259875.058000006},"MGF":{"buyValue":1739888.76,"sellValue":852799.03},"POH":{"buyValue":2388814.43,"sellValue":24936891.37799999},"DNM":{"buyValue":43149939.77,"sellValue":23148056.67},"MWZ":{"buyValue":964389.568,"sellValue":334618.24},"PAS":{"buyValue":49159099.12000001,"sellValue":44871389.431},"WSL":{"buyValue":5792476.4399999995,"sellValue":4183342.48},"ARC":{"buyValue":13564842,"sellValue":15761280},"HCT":{"buyValue":638512.2,"sellValue":708716.3200000001},"EVL":{"buyValue":0,"sellValue":626700},"UBS":{"buyValue":17979683.820000004,"sellValue":12267345.630000003},"SGL":{"buyValue":1680605.6600000001,"sellValue":1833344.9699999997},"XTX":{"buyValue":14133426.989999998,"sellValue":14870831.140000002},"BRC":{"buyValue":10479157.35,"sellValue":13190552.769999996},"JMP":{"buyValue":1333531.1700000002,"sellValue":1709385.4300000002},"VFG":{"buyValue":6107254.83,"sellValue":7116969.140000001},"MSI":{"buyValue":50094918.276,"sellValue":57200603.97799999},"JPM":{"buyValue":14314867.592,"sellValue":20445374.522000004},"CSB":{"buyValue":7913206.809999998,"sellValue":16579510.340000004},"GSI":{"buyValue":12979739.1,"sellValue":20828837.869999997},"MLI":{"buyValue":64112261.76599989,"sellValue":58387681.84100002},"DBL":{"buyValue":24488442.8,"sellValue":50892916.61999999},"INT":{"buyValue":28186188.790000003,"sellValue":20492739.550000004},"SAB":{"buyValue":1578123.51,"sellValue":1104704.35},"NEO":{"buyValue":14136509.129999997,"sellValue":3620715.4359999993},"IAT":{"buyValue":3913451.9900000007,"sellValue":2834768.0199999996},"SGP":{"buyValue":3791227.05,"sellValue":3639554.190000001},"KEM":{"buyValue":462056.73,"sellValue":76740.07},"TMB":{"buyValue":850180.61,"sellValue":539457.162},"RBCE":{"buyValue":0,"sellValue":67033.23},"VON":{"buyValue":95500,"sellValue":0},"REM":{"buyValue":298919.08,"sellValue":368587.77},"SRE":{"buyValue":1007632.55,"sellValue":97218.59999999999},"HBC":{"buyValue":303072.44,"sellValue":102001.6},"AIR":{"buyValue":104138.20000000001,"sellValue":3635910.4},"ALM":{"buyValue":0,"sellValue":136760},"SFK":{"buyValue":111203.58,"sellValue":74526.17}}
2017-06-29T19:10:01.244Z - Scanning for potential splits
2017-06-30T20:33:25.982Z - Found no data for stock: TRAN A with name: transferator--a. Try and search for name change: 
2017-06-30T20:33:26.044Z - No new name found. Something else is wrong, skipping stock.
2017-06-30T20:33:26.136Z - Found no data for stock: TRAN B with name: transferator--b. Try and search for name change: 
2017-06-30T20:33:26.232Z - No new name found. Something else is wrong, skipping stock.
2017-06-30T20:33:27.154Z - Found no data for stock: WIEM with name: wiema. Try and search for name change: 
2017-06-30T20:33:27.201Z - Stock WIEM potentially delisted? No matching stock found on Ava search.
2017-06-30T20:33:27.201Z - No new name found. Something else is wrong, skipping stock.
2017-06-30T20:33:33.945Z - Reached end of stock list! Parsed 836 stocks with 0 retries in 150.213 s.
2017-06-30T20:33:34.571Z - Stock CHER B might be splitted, Yclose :304.5, change: -0.9, close: 60
2017-06-30T20:33:34.571Z - Fixing split with ratio: 0.20000
2017-07-01T15:28:12.585Z - Found no data for stock: TRAN A with name: transferator--a. Try and search for name change: 
2017-07-01T15:28:12.697Z - No new name found. Something else is wrong, skipping stock.
2017-07-01T15:28:13.077Z - Found no data for stock: TRAN B with name: transferator--b. Try and search for name change: 
2017-07-01T15:28:13.150Z - No new name found. Something else is wrong, skipping stock.
2017-07-01T15:28:16.763Z - Found no data for stock: WIEM with name: wiema. Try and search for name change: 
2017-07-01T15:28:16.828Z - Stock WIEM potentially delisted? No matching stock found on Ava search.
2017-07-01T15:28:16.828Z - No new name found. Something else is wrong, skipping stock.
2017-07-01T15:28:36.211Z - Reached end of stock list! Parsed 836 stocks with 0 retries in 566.182 s.
2017-07-01T15:28:37.074Z - Stock AAK might be splitted, Yclose :615, change: 0.5, close: 615
2017-07-01T15:28:40.566Z - Stock AF B might be splitted, Yclose :174.1, change: 1.1, close: 174.1
2017-07-01T15:28:40.567Z - Stock AHSL might be splitted, Yclose :57.75, change: 0.1, close: 57.75
2017-07-01T15:28:40.567Z - Stock ALIV SDB might be splitted, Yclose :924, change: 3, close: 924
2017-07-01T15:28:40.568Z - Stock ATRLJ B might be splitted, Yclose :140.5, change: 1.8, close: 140.5
2017-07-01T15:28:40.568Z - Stock ATT might be splitted, Yclose :102.7, change: 2.4, close: 102.7
2017-07-01T15:28:40.568Z - Stock AXFO might be splitted, Yclose :140.6, change: 0.2, close: 140.6
2017-07-01T15:28:40.568Z - Stock BALD B might be splitted, Yclose :204, change: 0.6, close: 204
2017-07-01T15:28:40.569Z - Stock BALD PREF might be splitted, Yclose :348.7, change: 0.2, close: 348.7
2017-07-01T15:28:40.569Z - Stock BILL might be splitted, Yclose :133.2, change: 0.2, close: 133.2
2017-07-01T15:28:40.569Z - Stock BONAV A might be splitted, Yclose :144, change: 0.4, close: 144
2017-07-01T15:28:40.570Z - Stock BRAV might be splitted, Yclose :61.55, change: 1.35, close: 61.55
2017-07-01T15:28:40.570Z - Stock CAST might be splitted, Yclose :123.7, change: 0.2, close: 123.7
2017-07-01T15:28:40.570Z - Stock COLL might be splitted, Yclose :95, change: 0.25, close: 95
2017-07-01T15:28:40.571Z - Stock EKTA B might be splitted, Yclose :79.85, change: 0.6, close: 79.85
2017-07-01T15:28:40.571Z - Stock FABG might be splitted, Yclose :162, change: 0.4, close: 162
2017-07-01T15:28:40.571Z - Stock GETI B might be splitted, Yclose :164.9, change: 0.5, close: 164.9
2017-07-01T15:28:40.572Z - Stock HOLM A might be splitted, Yclose :369.4, change: 1.3, close: 369.4
2017-07-01T15:28:40.572Z - Stock HOLM B might be splitted, Yclose :365.7, change: 1.1, close: 365.7
2017-07-01T15:28:40.573Z - Stock HUSQ A might be splitted, Yclose :83.65, change: 1.1, close: 83.65
2017-07-01T15:28:40.573Z - Stock HUSQ B might be splitted, Yclose :83.7, change: 1.05, close: 83.7
2017-07-01T15:28:40.573Z - Stock ICA might be splitted, Yclose :313.6, change: 4.6, close: 313.6
2017-07-01T15:28:40.573Z - Stock INDT might be splitted, Yclose :193, change: 0.5, close: 193
2017-07-01T15:28:40.573Z - Stock INDU A might be splitted, Yclose :214.5, change: 0.6, close: 214.5
2017-07-01T15:28:40.574Z - Stock INDU C might be splitted, Yclose :202, change: 0.9, close: 202
2017-07-01T15:28:40.574Z - Stock JM might be splitted, Yclose :298.1, change: 1.5, close: 298.1
2017-07-01T15:28:40.574Z - Stock KINV B might be splitted, Yclose :257.9, change: 1.1, close: 257.9
2017-07-01T15:28:40.575Z - Stock KLED might be splitted, Yclose :51.6, change: 0.3, close: 51.6
2017-07-01T15:28:40.575Z - Stock KLOV A might be splitted, Yclose :9.395, change: 0.095, close: 9.395
2017-07-01T15:28:40.575Z - Stock LATO B might be splitted, Yclose :105.6, change: 0.5, close: 105.6
2017-07-01T15:28:40.575Z - Stock LIFCO B might be splitted, Yclose :270.8, change: 1, close: 270.8
2017-07-01T15:28:40.576Z - Stock MIC SDB might be splitted, Yclose :497.6, change: 2.2, close: 497.6
2017-07-01T15:28:40.577Z - Stock NCC A might be splitted, Yclose :237.6, change: 0.4, close: 237.6
2017-07-01T15:28:40.577Z - Stock NET B might be splitted, Yclose :73.65, change: 0.9, close: 73.65
2017-07-01T15:28:40.577Z - Stock NIBE B might be splitted, Yclose :79.55, change: 0.7, close: 79.55
2017-07-01T15:28:40.578Z - Stock PNDX B might be splitted, Yclose :150.5, change: 1.9, close: 150.5
2017-07-01T15:28:40.578Z - Stock RATO B might be splitted, Yclose :40.2, change: 0.01, close: 40.2
2017-07-01T15:28:40.579Z - Stock SAAB B might be splitted, Yclose :416, change: 1.3, close: 416
2017-07-01T15:28:40.580Z - Stock SAGA B might be splitted, Yclose :101, change: 1.45, close: 101
2017-07-01T15:28:40.580Z - Stock SAGA PREF might be splitted, Yclose :34, change: 0.45, close: 34
2017-07-01T15:28:40.582Z - Stock SAND might be splitted, Yclose :132.5, change: 0.2, close: 132.5
2017-07-01T15:28:40.582Z - Stock SCA A might be splitted, Yclose :73, change: 1.25, close: 73
2017-07-01T15:28:40.583Z - Stock SCA B might be splitted, Yclose :63.75, change: 0.25, close: 63.75
2017-07-01T15:28:40.583Z - Stock SECU B might be splitted, Yclose :142, change: 1, close: 142
2017-07-01T15:28:40.583Z - Stock SKF A might be splitted, Yclose :171, change: 0.4, close: 171
2017-07-01T15:28:40.584Z - Stock SOBI might be splitted, Yclose :130, change: 0.9, close: 130
2017-07-01T15:28:40.584Z - Stock SSAB A might be splitted, Yclose :38.45, change: 0.09, close: 38.45
2017-07-01T15:28:40.584Z - Stock SSAB B might be splitted, Yclose :31.25, change: 0.12, close: 31.25
